Flight Code    xCoordinate    yCoordinate    Distance       Direction      Flight Pattern Location       
330            0              1              1.0000         d              WS             LSW            
260            1              0              1.0000         d              WS             LSW            
122            1              0              1.0000         d              SW             LSW            
580            0              2              2.0000         d              WN             LNW            
371            2              0              2.0000         d              NE             LNE            
570            1              2              2.2361         d              NE             LNE            
445            1              2              2.2361         d              WN             LNW            
422            2              1              2.2361         d              SW             LSW            
282            1              2              2.2361         d              SW             LSW            
355            2              2              2.8284         d              NE             LNE            
151            2              2              2.8284         d              NE             LNE            
554            0              3              3.0000         d              SE             LSE            
477            0              3              3.0000         d              WS             LSW            
289            0              3              3.0000         d              WS             LSW            
197            3              0              3.0000         d              WS             LSW            
486            1              3              3.1623         d              EN             LNE            
246            3              1              3.1623         d              SW             LSW            
179            3              1              3.1623         d              NE             LNE            
460            2              3              3.6056         d              SW             LSW            
240            2              3              3.6056         d              SW             LSW            
449            4              0              4.0000         d              EN             LNE            
406            0              4              4.0000         d              NW             LNW            
319            4              0              4.0000         d              WN             LNW            
164            4              0              4.0000         d              WS             LSW            
441            1              4              4.1231         d              ES             LSE            
610            4              2              4.4721         d              ES             LSE            
502            4              2              4.4721         d              WS             LSW            
316            2              4              4.4721         d              WS             LSW            
540            5              0              5.0000         d              NW             LNW            
415            5              0              5.0000         d              SW             LSW            
412            0              5              5.0000         d              WN             LNW            
300            4              3              5.0000         d              WN             LNW            
365            5              1              5.0990         d              NW             LNW            
591            3              5              5.8310         d              NW             LNW            
379            5              3              5.8310         d              SE             LSE            
285            6              0              6.0000         d              SW             LSW            
546            6              1              6.0828         d              ES             LSE            
471            1              6              6.0828         d              EN             LNE            
427            6              1              6.0828         d              NE             LNE            
526            6              2              6.3246         d              SE             LSE            
326            2              6              6.3246         d              ES             LSE            
479            3              6              6.7082         d              EN             LNE            
430            3              6              6.7082         d              EN             LNE            
204            6              3              6.7082         d              EN             LNE            
521            5              5              7.0711         d              WN             LNW            
312            5              6              7.8102         d              WN             LNW            
185            5              6              7.8102         d              NE             LNE            
142            6              5              7.8102         d              WS             LSW            
517            13             13             18.3848        a              WN             LSE            
510            13             13             18.3848        a              ES             LNW            
175            13             13             18.3848        a              NE             LSW            
389            13             14             19.1050        a              SE             LNW            
269            13             14             19.1050        a              EN             LSW            
190            14             13             19.1050        a              WN             LSE            
616            14             14             19.7990        a              NW             LSE            
559            14             14             19.7990        a              SE             LNW            
337            14             14             19.7990        a              EN             LSW            
135            14             14             19.7990        a              ES             LNW            
532            13             15             19.8494        a              WN             LSE            
169            15             13             19.8494        a              WS             LNE            
536            14             15             20.5183        a              EN             LSW            
399            14             15             20.5183        a              WS             LNE            
362            14             15             20.5183        a              SW             LNE            
145            15             14             20.5183        a              NE             LSW            
345            16             13             20.6155        a              NW             LSE            
385            16             14             21.2603        a              EN             LSW            
584            13             17             21.4009        a              NW             LSE            
564            15             16             21.9317        a              WS             LNE            
264            16             15             21.9317        a              SW             LNE            
456            14             17             22.0227        a              SW             LNE            
376            17             14             22.0227        a              ES             LNW            
339            14             17             22.0227        a              WS             LNE            
231            18             13             22.2036        a              ES             LNW            
294            16             16             22.6274        a              WS             LNE            
249            16             16             22.6274        a              SW             LNE            
496            15             17             22.6716        a              NW             LSE            
219            17             15             22.6716        a              EN             LSW            
199            18             14             22.8035        a              WN             LSE            
602            19             13             23.0217        a              WN             LSE            
236            16             17             23.3452        a              SE             LNW            
551            15             18             23.4307        a              NW             LSE            
464            18             15             23.4307        a              NE             LSW            
577            14             19             23.6008        a              EN             LSW            
507            19             14             23.6008        a              WS             LNE            
129            14             19             23.6008        a              SW             LNE            
125            19             14             23.6008        a              ES             LNW            
257            17             17             24.0416        a              SW             LNE            
397            16             18             24.0832        a              EN             LSW            
350            16             18             24.0832        a              ES             LNW            
224            18             16             24.0832        a              WN             LSE            
597            19             15             24.2074        a              WS             LNE            
434            15             19             24.2074        a              WN             LSE            
161            15             19             24.2074        a              WS             LNE            
304            17             18             24.7588        a              SE             LNW            
214            16             19             24.8395        a              EN             LSW            
210            16             19             24.8395        a              SE             LNW            
157            16             19             24.8395        a              EN             LSW            
605            18             18             25.4558        a              WN             LSE            
277            17             19             25.4951        a              SW             LNE            
490            18             19             26.1725        a              WN             LSE            
